rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id
28,17,00:28:53,51997,19,9,11,2,defensive shot,0.0,1,2.0,1,1.1512195121951216,0.6317187499999998,,,8,155.9,314.46,9,246.5,774.82,1,11,890
28,18,00:28:54,52027,19,9,10,2,lob,0.0,0,1.0,4,1.315853658536585,-1.45625,,,8,240.5,652.31,8,195.8,322.5,1,11,890
28,19,00:28:55,52070,19,9,11,2,drop,1.0,0,2.0,5,1.4353658536585363,1.0009374999999998,,,8,214.5,219.25,8,213.7,669.53,1,11,890
28,20,00:28:56,52092,19,9,10,2,net shot,0.0,0,2.0,1,-1.0426829268292683,-0.2789062500000001,,,8,248.7,690.94,8,226.3,260.99,1,11,890
28,21,00:28:57,52123,19,9,11,2,lob,0.0,0,1.0,4,-1.1597560975609755,1.5298958333333337,,,7,111.1,372.61,8,191.1,651.07,1,11,890
28,22,00:28:58,52160,19,9,10,2,clear,0.0,1,1.0,4,1.257317073170732,-1.4201041666666665,,,4,91.5,771.75,7,144.6,371.97,1,11,890
28,23,00:29:00,52207,19,9,11,2,clear,1.0,0,1.0,3,1.148780487804878,1.519114583333333,,,8,222.9,228.93,8,193.3,696.97,1,11,890
28,24,00:29:01,52256,19,9,10,2,drop,0.0,0,2.0,5,-1.2353658536585366,-0.58984375,,,3,278.5,777.62,8,182.9,310.93,1,11,890
28,25,00:29:02,52279,19,9,11,2,lob,0.0,0,2.0,6,-1.4,1.411822916666667,,,8,109.2,353.06,8,218.1,729.56,1,11,890
28,26,00:29:03,52309,19,9,10,2,drop,0.0,1,2.0,2,1.2268292682926831,-0.3798958333333333,,,6,81.8,732.81,8,139.8,332.38,1,11,890
28,27,00:29:04,52340,19,9,11,2,net shot,0.0,1,2.0,1,1.1219512195121952,0.2076041666666667,,,8,250.2,361.59,8,168.7,688.34,1,11,890
28,28,00:29:05,52370,19,9,10,2,lob,0.0,0,1.0,3,-0.9646341463414634,-1.43390625,,,7,248.4,563.17,8,214.7,362.27,1,11,890
28,29,00:29:07,52422,19,9,11,2,drop,0.0,0,2.0,6,-1.1634146341463416,0.8149479166666668,,,3,99.7,191.61,8,192.1,649.15,1,11,890
28,30,00:29:08,52445,19,9,10,2,net shot,0.0,1,2.0,2,1.2353658536585368,-0.2966666666666666,,,6,94.9,678.39,8,138.0,246.99,1,11,890
28,31,00:29:09,52475,19,9,11,2,net shot,0.0,1,2.0,1,1.2780487804878051,0.302395833333333,,,2,251.6,391.81,8,164.3,716.55,1,11,890
28,32,00:29:10,52502,19,9,10,2,lob,0.0,0,1.0,3,-1.0878048780487806,-1.504322916666667,,,1,255.4,573.77,7,235.4,389.41,1,11,890
28,33,00:29:12,52566,19,9,11,2,drop,0.0,0,2.0,6,-1.3341463414634147,0.6793750000000003,,,3,100.3,191.59,8,193.7,669.79,1,11,890
28,34,00:29:13,52591,19,9,10,2,push/rush,0.0,1,1.0,3,-1.2585365853658537,-1.395625,,,6,89.0,665.57,8,144.6,275.25,1,11,890
28,35,00:29:14,52626,19,9,11,2,drop,0.0,0,2.0,2,-1.275609756097561,0.5371874999999999,,,5,94.6,218.62,8,160.3,677.57,1,11,890
28,36,00:29:15,52652,19,9,10,2,lob,0.0,1,2.0,4,1.3451219512195125,-1.49234375,,,6,93.7,642.8,8,133.7,272.37,1,11,890
28,37,00:29:16,52697,19,9,11,2,clear,0.0,1,1.0,8,0.4512195121951219,1.1872916666666669,,,9,243.8,201.89,8,199.3,667.86,1,11,890
28,38,00:29:17,52733,19,9,10,2,clear,1.0,0,1.0,4,1.4634146341463414,-1.45765625,,,8,223.4,669.4,8,199.2,289.5,1,11,890
28,39,00:29:19,52795,19,9,11,2,smash,1.0,0,2.0,5,1.364634146341463,1.0978645833333331,,,6,264.1,221.45,8,200.3,710.93,1,11,890
28,40,00:29:20,52811,19,9,10,3,defensive shot,0.0,0,2.0,1,1.1573170731707314,0.0966666666666666,not pass over the net,10.0,8,235.3,703.52,6,268.7,240.93,1,11,890
28,1,0:53:26,96206,17,11,10,1,short service,0.0,1,2.0,7,-0.3341463414634147,0.5200000000000001,,,8,182.9,310.93,8,132.1,659.4,2,11,921
28,2,0:53:27,96230,17,11,11,2,net shot,0.0,1,2.0,2,1.0987804878048784,-0.0945312499999998,,,8,164.4,602.17,8,175.3,319.97,2,11,921
28,3,0:53:28,96259,17,11,10,2,lob,0.0,1,1.0,4,-0.9804878048780488,1.5953124999999997,,,7,244.8,381.07,8,186.1,625.95,2,11,921
28,4,0:53:30,96304,17,11,11,2,clear,0.0,0,1.0,4,0.9987804878048778,-1.453125,,,9,113.8,765.17,8,161.5,277.99,2,11,921
28,5,0:53:31,96338,17,11,10,2,clear,1.0,0,1.0,9,-0.6634146341463415,1.5856250000000005,,,8,217.1,215.88,8,172.8,682.87,2,11,921
28,6,0:53:32,96385,17,11,11,2,clear,0.0,0,1.0,3,-0.996341463414634,-1.5963020833333337,,,9,132.5,782.27,8,165.6,259.13,2,11,921
28,7,0:53:33,96419,17,11,10,2,clear,0.0,0,1.0,9,-0.4670731707317074,1.5599999999999998,,,3,95.8,174.47,8,166.7,664.56,2,11,921
28,8,0:53:35,96472,17,11,11,2,clear,0.0,0,1.0,8,0.721951219512195,-1.3621354166666666,,,8,135.9,755.29,8,147.2,284.46,2,11,921
28,9,0:53:36,96503,17,11,10,2,clear,0.0,0,1.0,9,-0.5658536585365854,1.6903125,,,8,212.5,225.89,8,193.7,666.08,2,11,921
28,10,0:53:38,96551,17,11,11,2,clear,0.0,0,1.0,3,-1.0390243902439025,-1.4154166666666663,,,9,136.7,764.92,8,165.6,265.43,2,11,921
28,11,0:53:39,96587,17,11,10,2,drop,0.0,0,2.0,7,0.7731707317073171,0.5574479166666665,,,3,93.5,164.03,8,168.6,662.67,2,11,921
28,12,0:53:40,96608,17,11,11,2,net shot,0.0,0,2.0,1,-1.1597560975609755,-0.2507291666666666,,,8,222.4,605.42,8,135.8,227.59,2,11,921
28,13,0:53:41,96635,17,11,10,2,lob,0.0,0,1.0,5,0.9878048780487804,1.5030208333333337,,,8,118.0,358.53,8,177.0,630.01,2,11,921
28,14,0:53:42,96672,17,11,11,2,drop,0.0,0,2.0,5,-0.973170731707317,-0.6814062499999999,,,9,229.4,765.51,8,168.1,280.94,2,11,921
28,15,0:53:43,96691,17,11,10,2,net shot,0.0,0,2.0,2,-1.2134146341463414,0.3892708333333334,,,8,146.0,284.48,8,234.7,736.08,2,11,921
28,16,0:53:44,96722,17,11,11,2,lob,0.0,1,1.0,3,-1.329268292682927,-1.519947916666667,,,2,104.0,592.77,8,129.5,293.99,2,11,921
28,17,0:53:45,96767,17,11,10,2,smash,0.0,0,2.0,6,-1.0914634146341464,0.9461458333333332,,,3,80.2,167.85,8,155.8,651.53,2,11,921
28,18,0:53:46,96781,17,11,11,2,defensive shot,0.0,1,2.0,1,-0.9439024390243904,-0.1849479166666666,,,8,174.6,647.47,5,93.1,212.0,2,11,921
28,19,0:53:47,96812,17,11,10,2,lob,0.0,0,1.0,4,-1.25,1.5801041666666666,,,8,116.4,344.38,8,152.1,657.26,2,11,921
28,20,0:53:48,96852,17,11,11,2,drop,1.0,0,2.0,1,-1.079268292682927,-0.2513541666666666,,,8,125.9,753.78,8,127.6,290.99,2,11,921
28,21,0:53:49,96882,17,11,10,2,lob,0.0,0,1.0,4,-1.221951219512195,1.5302083333333332,,,5,99.6,356.07,8,147.1,686.81,2,11,921
28,22,0:53:50,96918,17,11,11,2,clear,0.0,0,1.0,3,-1.0097560975609756,-1.4334375,,,6,99.5,755.69,8,134.9,272.34,2,11,921
28,23,0:53:51,96956,17,11,10,2,drop,0.0,0,2.0,5,1.0060975609756098,0.7604687499999999,,,5,94.0,205.28,8,161.7,677.55,2,11,921
28,24,0:53:52,96976,17,11,11,2,net shot,0.0,0,2.0,2,1.1182926829268292,-0.2820312499999999,,,8,217.9,637.26,8,129.8,237.5,2,11,921
28,25,0:53:53,97004,17,11,10,2,lob,0.0,1,1.0,4,-0.8609756097560974,1.51171875,,,7,243.1,367.31,8,212.1,623.62,2,11,921
28,26,0:53:54,97043,17,11,11,2,smash,0.0,0,2.0,8,0.6951219512195121,-0.7410937500000001,,,9,121.4,760.29,8,159.9,308.42,2,11,921
28,27,0:53:55,97057,17,11,10,2,defensive shot,0.0,1,2.0,5,1.2390243902439029,0.7169791666666665,,,8,139.1,299.85,9,107.7,763.64,2,11,921
28,28,0:53:56,97090,17,11,11,2,lob,0.0,0,1.0,4,1.2926829268292683,-1.50984375,,,8,248.5,627.07,8,179.5,277.61,2,11,921
28,29,0:53:57,97139,17,11,10,2,clear,0.0,0,1.0,3,1.2914634146341462,1.6258333333333332,,,9,242.1,195.16,8,212.6,658.35,2,11,921
28,30,0:53:59,97190,17,11,11,2,drop,0.0,0,2.0,5,-1.2829268292682927,-0.5308854166666667,,,3,272.3,774.55,8,182.0,249.24,2,11,921
28,31,0:54:00,97218,17,11,10,2,net shot,0.0,0,2.0,2,-1.252439024390244,0.3430208333333334,,,5,83.5,345.02,8,212.0,724.54,2,11,921
28,32,0:54:01,97249,17,11,11,2,net shot,0.0,1,2.0,1,-1.2597560975609756,0.01328125,,,2,98.5,573.98,8,124.5,326.87,2,11,921
28,33,0:54:02,97276,17,11,10,2,lob,0.0,0,1.0,8,0.9073170731707316,1.4266145833333332,,,1,88.1,408.2,7,127.4,573.55,2,11,921
28,34,0:54:04,97339,17,11,11,2,smash,0.0,0,2.0,6,1.1987804878048782,-0.9805729166666666,,,8,226.1,751.04,8,156.9,299.48,2,11,921
28,35,0:54:05,97359,17,11,10,2,defensive shot,0.0,1,1.0,5,1.0914634146341464,1.485625,,,8,233.5,263.99,8,209.5,702.07,2,11,921
28,36,0:54:06,97400,17,11,11,2,clear,0.0,0,1.0,3,-0.995121951219512,-1.5052083333333333,,,8,243.4,754.1,8,184.9,286.74,2,11,921
28,37,0:54:07,97435,17,11,10,2,smash,0.0,0,2.0,6,-1.0634146341463415,1.0919791666666665,,,3,101.2,198.37,8,195.5,671.61,2,11,921
28,38,0:54:08,97448,17,11,11,2,defensive shot,0.0,1,2.0,1,-0.9402439024390244,-0.0923437500000001,,,8,196.3,623.84,5,103.4,205.07,2,11,921
28,39,0:54:09,97477,17,11,10,2,net shot,0.0,0,2.0,1,1.0012195121951222,0.3977604166666666,,,8,112.5,364.24,8,151.8,640.09,2,11,921
28,40,0:54:10,97504,17,11,11,2,lob,0.0,0,1.0,5,-1.0719512195121952,-1.362291666666667,,,7,228.1,582.62,8,167.1,334.74,2,11,921
28,41,0:54:11,97540,17,11,10,2,clear,0.0,0,1.0,4,-1.396341463414634,1.58078125,,,8,123.4,204.62,8,185.9,649.23,2,11,921
28,42,0:54:12,97583,17,11,11,2,drop,0.0,1,2.0,7,-0.8512195121951219,-0.4480729166666665,,,4,72.5,775.1,8,151.8,271.98,2,11,921
28,43,0:54:13,97603,17,11,10,2,net shot,0.0,0,2.0,7,0.828048780487805,0.4447395833333332,,,8,131.9,320.85,8,125.3,727.25,2,11,921
28,44,0:54:14,97631,17,11,11,2,lob,0.0,0,1.0,3,-1.2134146341463414,-1.3960416666666664,,,7,222.3,578.5,8,162.9,311.34,2,11,921
28,45,0:54:15,97669,17,11,10,2,drop,0.0,0,2.0,1,1.1573170731707314,0.5104687499999999,,,3,94.0,191.74,8,176.5,641.69,2,11,921
28,46,0:54:16,97697,17,11,11,2,lob,0.0,0,1.0,4,1.3865853658536584,-1.4569270833333334,,,7,241.4,594.92,8,156.3,240.15,2,11,921
28,47,0:54:18,97742,17,11,10,2,drop,0.0,1,2.0,2,-0.9792682926829268,0.4792187499999999,,,4,264.6,187.82,8,210.2,643.16,2,11,921
28,48,0:54:18,97768,17,11,11,2,lob,0.0,1,1.0,9,0.6902439024390243,-1.55828125,,,8,106.2,609.09,8,204.9,235.85,2,11,921
28,49,0:54:20,97811,17,11,10,2,clear,0.0,0,1.0,9,-0.6951219512195121,1.58578125,,,9,213.8,192.4,8,174.2,662.6,2,11,921
28,50,0:54:21,97854,17,11,11,2,clear,0.0,0,1.0,3,-1.1487804878048782,-1.5036979166666669,,,8,128.0,752.13,8,155.8,253.0,2,11,921
28,51,0:54:23,97903,17,11,10,2,smash,0.0,0,2.0,8,-0.8207317073170731,0.89453125,,,3,87.6,174.66,8,174.6,670.03,2,11,921
28,52,0:54:23,97916,17,11,11,2,defensive shot,0.0,1,2.0,2,1.0146341463414632,-0.4346354166666666,,,8,194.4,652.92,3,92.5,198.57,2,11,921
28,53,0:54:24,97946,17,11,10,2,lob,0.0,1,1.0,6,-1.1792682926829268,1.5047916666666663,,,8,229.8,339.27,8,175.6,656.95,2,11,921
28,54,0:54:26,97992,17,11,11,2,clear,0.0,0,1.0,3,-1.3841463414634143,-1.4654166666666668,,,9,116.9,765.14,8,153.8,284.32,2,11,921
28,55,0:54:27,98036,17,11,10,2,drop,0.0,0,2.0,1,1.2548780487804876,0.4419791666666667,,,3,70.0,178.54,8,145.1,677.76,2,11,921
28,56,0:54:28,98062,17,11,11,2,lob,0.0,0,1.0,4,1.2231707317073173,-1.4553124999999998,,,8,234.7,601.17,8,126.7,234.32,2,11,921
28,57,0:54:29,98095,17,11,10,2,drop,0.0,1,2.0,6,-0.9902439024390244,0.7092708333333331,,,9,244.6,195.1,8,221.4,646.85,2,11,921
28,58,0:54:30,98128,17,11,11,2,net shot,0.0,1,2.0,7,-0.0170731707317073,-0.2732291666666666,,,8,136.5,634.47,8,182.6,255.6,2,11,921
28,59,0:54:31,98159,17,11,10,2,lob,0.0,1,1.0,4,-0.8865853658536585,1.6355729166666666,,,7,161.7,379.9,8,163.2,632.16,2,11,921
28,60,0:54:33,98207,17,11,11,2,clear,0.0,0,1.0,9,-0.7792682926829269,-1.6169270833333331,,,8,118.6,755.48,8,158.8,311.43,2,11,921
28,61,0:54:35,98250,17,11,10,2,clear,0.0,0,1.0,4,-1.002439024390244,1.5871875,,,9,111.0,191.35,8,158.8,666.53,2,11,921
28,62,0:54:36,98297,17,11,11,2,clear,0.0,0,1.0,3,-1.1243902439024391,-1.5583854166666669,,,8,106.4,739.21,8,157.2,271.87,2,11,921
28,63,0:54:38,98343,17,11,10,2,drop,0.0,0,2.0,1,1.4,0.5865625,,,3,97.0,188.25,8,171.8,653.22,2,11,921
28,64,0:54:38,98369,17,11,11,2,lob,0.0,0,1.0,4,1.4243902439024392,-1.4572916666666669,,,5,253.9,598.85,8,153.5,262.55,2,11,921
28,65,0:54:40,98408,17,11,10,2,clear,0.0,1,1.0,9,0.725609756097561,1.612083333333333,,,6,273.4,211.29,8,216.7,646.91,2,11,921
28,66,0:54:41,98454,17,11,11,2,clear,0.0,0,1.0,4,1.104878048780488,-1.5623958333333334,,,9,213.9,764.09,8,184.5,249.18,2,11,921
28,67,0:54:43,98495,17,11,10,2,clear,0.0,0,1.0,3,1.1829268292682926,1.6181770833333335,,,9,239.4,201.99,8,195.4,678.95,2,11,921
28,68,0:54:44,98544,17,11,11,2,clear,0.0,0,1.0,4,1.2621951219512195,-1.5095312500000002,,,3,260.2,776.25,8,183.8,265.05,2,11,921
28,69,0:54:46,98587,17,11,10,2,clear,0.0,0,1.0,3,1.4134146341463412,1.6171354166666667,,,9,251.0,194.96,8,208.3,678.79,2,11,921
28,70,0:54:47,98638,17,11,11,3,clear,0.0,0,2.0,4,1.5256097560975612,-1.6032812500000002,misjudged,10.0,3,277.5,783.85,8,182.5,280.64,2,11,921
